Kode,Nama,Tanggal Pencatatan
LMAS,Limas Indonesia Makmur Tbk,28 Des 2001
LMPI,Langgeng Makmur Industri Tbk,17 Okt 1994
LMSH,Lionmesh Prima Tbk,04 Jun 1990
LPCK,Lippo Cikarang Tbk,24 Jul 1997
LPGI,Lippo General Insurance Tbk,22 Jul 1997
LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990
LPKR,Lippo Karawaci Tbk,28 Jun 1996
LPLI,Star Pacific Tbk,23 Okt 1989
LPPF,Matahari Department Store Tbk,10 Okt 1989
LPPS,Lippo Securities Tbk,28 Mar 1994
LRNA,PT Eka Sari Lorena Transport Tbk.,15 Apr 2014
LSIP,PP London Sumatra Indonesia Tbk,05 Jul 1996
LTLS,PT Lautan Luas Tbk,21 Jul 1997
LUCK,PT Sentral Mitra Informatika Tbk.,28 Nov 2018
MABA,PT Marga Abhinaya Abadi Tbk,22 Jun 2017
MAGP,Multi Agro Gemilang Plantation Tbk,16 Jan 2013
MAIN,Malindo Feedmill Tbk,10 Feb 2006
MAMI,Mas Murni Indonesia Tbk,09 Feb 1994
MAPA,PT MAP Aktif Adiperkasa Tbk.,05 Jul 2018
MAPB,PT MAP Boga Adiperkasa Tbk.,21 Jun 2017
MAPI,Mitra Adiperkasa Tbk,10 Nov 2004
MARI,PT Mahaka Radio Integra Tbk.,11 Feb 2016
MARK,PT Mark Dynamics Indonesia Tbk.,12 Jul 2017
MASA,Multistrada Arah Sarana Tbk,09 Jun 2005
MAYA,PT Bank Mayapada Internasional Tbk,29 Ags 1997
MBAP,PT Mitrabara Adiperdana Tbk,10 Jul 2014
MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011
MBTO,Martina Berto Tbk,13 Jan 2011
MCAS,PT M Cash Integrasi Tbk,01 Nov 2017
MCOR,PT Bank China Construction Bank Indonesia Tbk,03 Jul 2007
MDIA,PT Intermedia Capital Tbk.,11 Apr 2014
MDKA,PT Merdeka Copper Gold Tbk.,19 Jun 2015
MDKI,PT Emdeki Utama Tbk,25 Sep 2017
MDLN,PT Modernland Realty Tbk.,18 Jan 1993
MDRN,Modern Internasional Tbk,16 Jul 1991
MEDC,PT Medco Energi Internasional Tbk,12 Okt 1994
MEGA,Bank Mega Tbk,17 Apr 2000
MERK,Merck Tbk,23 Jul 1981
META,Nusantara Infrastructure Tbk,18 Jul 2001
MFIN,PT Mandala Multifinance Tbk.,06 Sep 2005
MFMI,Multifiling Mitra Indonesia Tbk,29 Des 2010
MGNA,PT Magna Investama Mandiri Tbk,07 Jul 2014
MGRO,PT Mahkota Group Tbk.,12 Jul 2018
MICE,Multi Indocitra Tbk,21 Des 2005
MIDI,Midi Utama Indonesia Tbk,30 Nov 2010
MIKA,PT Mitra Keluarga Karyasehat Tbk.,24 Mar 2015
MINA,PT Sanurhasta Mitra Tbk.,28 Apr 2017
MIRA,Mitra International Resources Tbk,30 Jan 1997
MITI,Mitra Investindo Tbk,16 Jul 1997
MKNT,PT Mitra Komunikasi Nusantara Tbk.,26 Okt 2015
MKPI,Metropolitan Kentjana Tbk,10 Jul 2009
MLBI,Multi Bintang Indonesia Tbk,15 Des 1981
MLIA,Mulia Industrindo Tbk,17 Jan 1994
MLPL,Multipolar Tbk,06 Nov 1989
MLPT,PT Multipolar Technology Tbk.,08 Jul 2013
MMLP,PT Mega Manunggal Property Tbk.,12 Jun 2015
MNCN,Media Nusantara Citra Tbk,22 Jun 2007
MOLI,PT Madusari Murni Indah Tbk.,30 Ags 2018
